Date,Province,Cases,tsf,mst,rh,rfm,area,spd,sca
06/01/2019,Aurora,0,61988,24.63333333,89.5,3.816666667,3147,19.6975,0
13/01/2019,Aurora,0,62196,24.54285714,88.71428571,5.121428571,3147,19.76361429,0
20/01/2019,Aurora,0,62420,24.74285714,88.71428571,8.9,3147,19.83481429,0
27/01/2019,Aurora,0,62644,24.74285714,88.71428571,2.850337143,3147,19.90602857,0
03/02/2019,Aurora,0,62868,24.7,88.57142857,1.840188571,3147,19.97722857,0
10/02/2019,Aurora,0,63092,25.12857143,88.28571429,1.83551,3147,20.04842857,0
17/02/2019,Aurora,0,63316.42857,25,88,1.140187143,3147,20.11964286,0
24/02/2019,Aurora,0,63541,25.2,87.71428571,1.323498571,3147,20.19084286,0
03/03/2019,Aurora,0,63765,25.61428571,87.57142857,2.079972857,3147,20.26204286,0
10/03/2019,Aurora,0,63989,26.42857143,86.85714286,2.97383,3147,20.33324286,0
17/03/2019,Aurora,0,64213,26.42857143,87.14285714,1.736981429,3147,20.40444286,0
24/03/2019,Aurora,0,64437,26.58571429,86.85714286,1.988652857,3147,20.47565714,0
31/03/2019,Aurora,0,64661,26.4,86.85714286,2.59907,3147,20.54685714,0
07/04/2019,Aurora,0,64706.14286,27.37142857,87,11.67677,3147,20.56122857,0
14/04/2019,Aurora,0,64513,27.24285714,87.42857143,8.430974286,3147,20.49982857,0
21/04/2019,Aurora,0,64319.85714,27.45714286,87.14285714,2.08598,3147,20.43842857,0
28/04/2019,Aurora,0,64126.42857,27.15714286,87,15.52243,3147,20.37702857,0
05/05/2019,Aurora,0,63933.14286,27.91428571,87.71428571,9.64099,3147,20.31562857,0
12/05/2019,Aurora,0,63740,28.4,87.14285714,6.086117143,3147,20.25421429,0
19/05/2019,Aurora,0,63546.85714,28.21428571,87.28571429,11.22336,3147,20.19281429,0
26/05/2019,Aurora,0,63353.57143,28.32857143,87.14285714,4.910945714,3147,20.13141429,0
02/06/2019,Aurora,0,63160.42857,28.57142857,85.28571429,2.495325714,3147,20.07001429,0
09/06/2019,Aurora,0,62967.14286,28.82857143,79.85714286,3.1514,3147,20.00861429,0
16/06/2019,Aurora,0,62773.85714,28.84285714,79.71428571,4.087314286,3147,19.94721429,0
23/06/2019,Aurora,0,62580.57143,28.71428571,80.57142857,4.139917143,3147,19.88581429,0
30/06/2019,Aurora,0,62387.42857,28.8,80.28571429,3.33551,3147,19.82441429,0
07/07/2019,Aurora,0,62102.42857,28.21428571,82.28571429,6.90347,3147,19.73387143,0
14/07/2019,Aurora,0,61695.28571,28.35714286,81.85714286,8.074498571,3147,19.60447143,0
21/07/2019,Aurora,0,61288.14286,28.31428571,82.14285714,8.84299,3147,19.47507143,0
28/07/2019,Aurora,0,60880.71429,28.4,82.14285714,7.39907,3147,19.34567143,0
04/08/2019,Aurora,0,60473.57143,28.61428571,83,5.224168571,3147,19.21627143,0
11/08/2019,Aurora,0,60066.42857,28.77142857,84.14285714,2.3243,3147,19.08687143,21
18/08/2019,Aurora,0,59659.28571,28.77142857,84.42857143,14.66355,3147,18.95747143,21
